Date,ARIMA_Forecast,SARIMA_Forecast
2020-07-02,70.2651124866619,85.79966259130074
2020-07-03,64.95974813513817,82.85659785072033
2020-07-04,60.57671717749633,94.38290533451533
2020-07-05,61.05690656641119,83.2492048730557
2020-07-06,60.616560871488005,92.00899621668611
2020-07-07,60.198276666402634,92.41992670749413
2020-07-08,59.359282481811356,83.09784105140628
2020-07-09,60.83739941443179,95.85248813228654
2020-07-10,59.992311877043676,99.49402092090541
2020-07-11,59.76863958314678,92.1135760830108
2020-07-12,59.95218255424903,70.20680634271801
2020-07-13,60.69481679529073,76.7996643797897
2020-07-14,59.5780797381433,96.86073600329347
2020-07-15,59.98154493663772,90.98079397447447
2020-07-16,60.31148587945718,95.33457364933854
2020-07-17,60.23540044104685,90.16330047631298
2020-07-18,59.551576698031305,92.57418762084534
2020-07-19,60.34228350657804,92.72559333898687
2020-07-20,60.22526740696113,85.03386047257338
2020-07-21,59.88610381162811,94.01505802901856
2020-07-22,59.85810410388148,98.8258827017184
2020-07-23,60.45978258600461,89.97264233734745
2020-07-24,59.934946491146135,72.15370974846267
2020-07-25,59.8767872789972,73.66373562672369
2020-07-26,60.16899075184449,96.30922871487033
2020-07-27,60.27855773643986,90.18423331232063
2020-07-28,59.77362106817929,95.12006669309164
2020-07-29,60.09005517531421,88.96910350584055
2020-07-30,60.24130398072235,91.91905979955509
2020-07-31,60.02102874503158,91.7141549590665
